RK,Player,Team,player_id,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
306,"Chirinos, R",TEX,455139,C,88,263,46,67,13,1,17,38,34,79,1,0,.255,.360,.506,.866,0,10,1,1,133,31,5,58,66,0.88,1274,309
307,"Gonzalez, E",CLE,570481,2B,60,110,18,28,6,0,4,11,3,37,1,2,.255,.272,.418,.690,0,0,1,1,46,10,1,30,18,1.67,456,115
308,"Caratini, V",CHC,605170,C,31,59,6,15,3,0,1,2,4,13,0,0,.254,.333,.356,.689,1,3,0,0,21,4,3,28,6,4.67,272,66
309,"Bruce, J",CLE,457803,RF,146,555,82,141,29,2,36,101,57,139,1,1,.254,.324,.508,.832,0,2,0,3,282,67,11,122,167,0.73,2432,617
310,"Escobar, E",MIN,500871,3B,129,457,62,116,16,5,21,73,33,98,5,1,.254,.309,.449,.758,3,5,1,3,205,42,5,102,150,0.68,2006,499
311,"Iannetta, C",ARI,455104,C,89,272,38,69,19,0,17,43,37,87,0,0,.254,.354,.511,.865,0,6,0,1,139,36,3,57,63,0.90,1369,316
312,"Buxton, B",MIN,621439,CF,140,462,69,117,14,6,16,51,38,150,29,1,.253,.314,.413,.728,2,4,5,2,191,36,1,91,112,0.81,1991,511
313,"Peterson, S",TB,451089,LF,30,79,9,20,5,0,2,11,5,21,2,0,.253,.310,.392,.703,0,2,0,1,31,7,2,20,21,0.95,332,88
314,"Garcia, G",STL,594824,3B,133,241,27,61,9,2,2,20,37,64,2,1,.253,.365,.332,.697,0,6,5,1,80,13,6,79,49,1.61,1210,290
314,"Vargas, K",MIN,573627,DH,78,241,33,61,13,0,11,41,20,77,0,0,.253,.314,.444,.758,1,2,0,1,107,24,10,77,37,2.08,1121,264
316,"Crawford, B",SF,543063,SS,144,518,58,131,34,1,14,77,42,113,3,5,.253,.305,.403,.709,3,1,0,9,209,49,18,165,136,1.21,2172,570
317,"McCann, J",DET,543510,C,106,352,39,89,14,2,13,49,26,89,1,0,.253,.318,.415,.733,0,9,1,3,146,29,8,94,94,1.00,1466,391
318,"Happ, I",CHC,664023,CF,115,364,62,92,17,3,24,68,39,129,8,4,.253,.328,.514,.842,5,4,2,4,187,44,12,89,72,1.24,1618,413
319,"Mazara, N",TEX,608577,RF,148,554,64,140,30,2,20,101,55,127,2,2,.253,.323,.422,.745,6,4,0,3,234,52,12,168,134,1.25,2445,616
320,"Drew, S",WSH,452220,SS,46,95,9,24,7,0,1,17,8,21,0,0,.253,.302,.358,.660,0,0,0,3,34,8,2,24,31,0.77,440,106
321,"Pennington, C",LAA,460060,2B,87,194,23,49,6,0,3,21,16,58,3,1,.253,.306,.330,.635,0,1,1,5,64,9,2,45,50,0.90,888,217
322,"Pearce, S",TOR,456665,LF,92,313,38,79,17,1,13,37,27,68,0,0,.252,.319,.438,.757,1,5,0,3,137,31,11,89,91,0.98,1372,348
323,"Rivera, R",CHC,425784,C,74,218,23,55,9,0,10,35,14,70,0,1,.252,.305,.431,.736,3,3,1,1,94,19,4,47,52,0.90,875,237
324,"Ahmed, N",ARI,605113,SS,53,167,24,42,8,1,6,21,10,39,3,4,.251,.298,.419,.717,3,1,0,0,70,15,6,48,44,1.09,625,178
325,"Dyson, J",SEA,502481,CF,111,346,56,87,13,3,5,30,28,55,28,7,.251,.324,.350,.674,2,10,4,2,121,21,3,115,98,1.17,1412,390
326,"Goodwin, B",WSH,571718,CF,74,251,41,63,21,1,13,30,23,69,6,0,.251,.313,.498,.811,2,1,0,3,125,35,3,57,68,0.84,1143,278
327,"Polanco, G",PIT,570256,RF,108,379,39,95,20,0,11,35,27,60,8,1,.251,.305,.391,.695,4,3,0,1,148,31,5,108,122,0.89,1544,411
328,"Zunino, M",SEA,572287,C,124,387,52,97,25,0,25,64,39,160,1,0,.251,.331,.509,.840,0,8,0,1,197,50,8,56,83,0.67,1800,435
329,"Escobar, A",KC,444876,SS,162,599,71,150,36,5,6,54,15,102,4,7,.250,.272,.357,.629,1,4,7,4,214,47,14,184,188,0.98,2233,629
330,"Archer, C",TB,502042,P,3,8,1,2,0,0,0,1,0,3,0,0,.250,.250,.250,.500,0,0,0,0,2,0,1,4,0,*.**,34,8
330,"Bailey, H",CIN,456701,P,17,28,4,7,2,0,0,0,0,11,0,0,.250,.250,.321,.571,0,0,7,0,9,2,0,17,0,*.**,121,35
330,"Bradley, A",ARI,605151,P,60,4,0,1,0,0,0,1,0,2,0,0,.250,.250,.250,.500,0,0,0,0,1,0,0,1,0,*.**,15,4
330,"Espino, P",TEX,502179,P,6,4,0,1,0,0,0,0,0,1,0,0,.250,.250,.250,.500,0,0,1,0,1,0,0,3,0,*.**,21,5
330,"Gallagher, C",KC,595956,C,13,24,2,6,1,0,1,5,3,4,0,0,.250,.333,.417,.750,0,0,0,0,10,2,1,11,4,2.75,93,27
330,"Lagares, J",NYM,501571,CF,94,252,37,63,16,2,3,15,14,56,7,3,.250,.296,.365,.661,0,3,2,1,92,21,6,75,67,1.12,1033,272
330,"Miley, W",BAL,489119,P,3,4,0,1,0,0,0,0,0,1,0,0,.250,.250,.250,.500,0,0,0,0,1,0,0,2,0,*.**,14,4
330,"Prado, M",MIA,445988,3B,37,140,13,35,9,0,2,12,6,22,0,0,.250,.279,.357,.636,0,0,0,1,50,11,4,52,36,1.44,625,147
330,"Riddle, J",MIA,595375,SS,70,228,20,57,13,1,3,31,12,50,0,2,.250,.282,.355,.637,2,0,2,5,81,17,6,81,53,1.53,898,247
330,"Robles, V",-,645302,-,13,24,2,6,1,2,0,4,0,6,0,1,.250,.308,.458,.766,0,2,1,0,11,3,2,11,4,2.75,102,27
330,"Stewart, B",LAD,592779,P,16,4,0,1,0,0,0,1,0,2,0,0,.250,.250,.250,.500,0,0,1,0,1,0,0,1,1,1.00,14,5
330,"Vargas, J",KC,450306,P,1,4,0,1,0,0,0,0,0,1,0,0,.250,.250,.250,.500,0,0,0,0,1,0,0,1,1,1.00,12,4
330,"Velasquez, V",PHI,592826,P,16,24,1,6,0,0,0,1,1,4,0,0,.250,.280,.250,.530,0,0,0,0,6,0,1,7,8,0.88,82,25
330,"Walker, C",ARI,572233,1B,11,12,2,3,1,0,2,2,1,5,0,0,.250,.400,.833,1.233,0,2,0,0,10,3,0,2,2,1.00,66,15
330,"Williams, M",NYY,592863,RF,5,16,3,4,0,0,0,1,1,2,2,0,.250,.294,.250,.544,0,0,0,0,4,0,0,4,6,0.67,77,17
345,"Morales, K",TOR,434778,DH,150,557,67,139,25,0,28,85,43,132,0,0,.250,.308,.445,.753,2,5,0,3,248,53,22,190,121,1.57,2332,608
346,"Cabrera, M",DET,408234,1B,130,469,50,117,22,0,16,60,54,110,0,1,.249,.329,.399,.728,6,3,0,3,187,38,15,128,132,0.97,2045,529
347,"Seager, K",SEA,572122,3B,154,578,72,144,33,1,27,88,58,110,2,1,.249,.323,.450,.773,6,8,0,6,260,61,6,123,213,0.58,2565,650
348,"Cervelli, F",PIT,465041,C,81,265,31,66,13,2,5,31,32,65,0,2,.249,.342,.370,.712,0,6,0,1,98,20,7,88,54,1.63,1212,304
349,"Tulowitzki, T",TOR,453064,SS,66,241,16,60,10,0,7,26,17,40,0,1,.249,.300,.378,.678,1,1,0,1,91,17,10,88,64,1.38,966,260
350,"Dietrich, D",MIA,518618,3B,135,406,56,101,22,5,13,53,36,98,0,1,.249,.334,.424,.758,5,18,0,4,172,40,4,92,123,0.75,1834,464
351,"Duvall, A",CIN,594807,LF,157,587,78,146,37,3,31,99,39,170,5,3,.249,.301,.480,.782,1,10,0,11,282,71,11,118,175,0.67,2484,647
352,"Heredia, G",SEA,628338,LF,123,386,43,96,16,0,6,24,27,64,1,5,.249,.315,.337,.652,2,11,1,1,130,22,9,125,112,1.12,1585,426
353,"Semien, M",OAK,543760,SS,85,342,53,85,19,1,10,40,38,85,12,1,.249,.325,.398,.722,0,2,1,3,136,30,3,72,107,0.67,1592,386
354,"Rosario, A",NYM,642708,SS,46,165,16,41,4,4,4,10,3,49,7,3,.248,.271,.394,.665,0,2,0,0,65,12,3,44,34,1.29,642,170
355,"Lamb, J",ARI,571875,3B,149,536,89,133,30,4,30,105,87,152,6,4,.248,.357,.487,.844,13,7,0,5,261,64,15,147,124,1.19,2558,635
356,"Cron, C",LAA,543068,1B,100,339,39,84,14,1,16,56,22,96,3,2,.248,.305,.437,.741,0,7,0,3,148,31,5,70,97,0.72,1405,373
357,"Hamilton, B",CIN,571740,CF,139,582,85,144,17,11,4,38,44,133,59,13,.247,.299,.335,.634,0,0,5,2,195,32,5,174,143,1.22,2518,633
358,"Davis, K",OAK,501981,LF,153,566,91,140,28,1,43,110,73,195,4,0,.247,.336,.528,.864,1,6,0,7,299,72,20,141,117,1.21,2591,652
359,"Thames, E",MIL,519346,1B,138,469,83,116,26,4,31,63,75,163,4,2,.247,.359,.518,.877,5,7,0,0,243,61,6,98,98,1.00,2342,551
360,"Parker, J",SF,592620,LF,51,166,14,41,12,2,4,23,10,54,2,1,.247,.294,.416,.709,2,1,0,0,69,18,2,43,30,1.43,738,177
361,"Grandal, Y",LAD,518735,C,129,438,50,108,27,0,22,58,40,130,0,1,.247,.308,.459,.767,0,0,1,3,201,49,10,113,101,1.12,1916,482
362,"Morrison, L",TB,489149,1B,149,512,75,126,22,1,38,85,81,149,2,0,.246,.353,.516,.868,8,5,0,3,264,61,12,117,135,0.87,2356,601
363,"Grossman, R",MIN,543257,LF,119,382,62,94,22,1,9,45,67,79,3,1,.246,.361,.380,.741,0,3,2,2,145,32,6,108,111,0.97,1822,456
364,"Moreland, M",BOS,519048,1B,149,508,73,125,34,0,22,79,57,120,0,1,.246,.326,.443,.769,6,6,0,5,225,56,14,158,124,1.27,2266,576
365,"Voit, L",STL,572228,1B,62,114,18,28,9,0,4,18,7,31,0,0,.246,.306,.430,.736,0,3,0,0,49,13,4,33,26,1.27,466,124
366,"Blanco, G",ARI,453923,LF,90,224,43,55,10,3,3,13,31,59,15,1,.246,.337,.357,.694,0,0,1,0,80,16,2,56,57,0.98,1105,256
367,"Reyes, J",NYM,408314,SS,145,501,75,123,25,7,15,58,50,79,24,6,.246,.315,.413,.728,1,2,5,3,207,47,3,130,180,0.72,2074,561
368,"Ray, R",ARI,592662,P,27,53,5,13,2,0,0,2,3,23,0,0,.245,.286,.283,.569,0,0,5,0,15,2,0,17,5,3.40,224,61
369,"Bradley Jr., J",BOS,598265,CF,133,482,58,118,19,3,17,63,48,124,8,3,.245,.323,.402,.726,4,9,0,2,194,39,8,145,107,1.36,2033,541
370,"Calhoun, K",LAA,594777,RF,155,569,77,139,23,2,19,71,71,134,5,1,.244,.333,.392,.725,4,8,0,6,223,44,10,168,144,1.17,2521,654
